Num	Gene_ID
1065	ENSG00000143772
1066	ENSG00000143774
1067	ENSG00000143797
1068	ENSG00000143811
1069	ENSG00000143815
1070	ENSG00000143819
1071	ENSG00000143845
1072	ENSG00000143882
1073	ENSG00000143891
1074	ENSG00000143921
1075	ENSG00000143933
1076	ENSG00000144035
1077	ENSG00000144048
1078	ENSG00000144057
1079	ENSG00000144136
1080	ENSG00000144182
1081	ENSG00000144231
1082	ENSG00000144362
1083	ENSG00000144579
1084	ENSG00000144591
1085	ENSG00000144659
1086	ENSG00000144677
1087	ENSG00000144741
1088	ENSG00000145020
1089	ENSG00000145214
1090	ENSG00000145283
1091	ENSG00000145284
1092	ENSG00000145293
1093	ENSG00000145337
1094	ENSG00000145349
1095	ENSG00000145384
1096	ENSG00000145439
1097	ENSG00000145494
1098	ENSG00000145545
1099	ENSG00000145632
1100	ENSG00000145675
1101	ENSG00000146066
1102	ENSG00000146072
1103	ENSG00000146085
1104	ENSG00000146587
1105	ENSG00000146648
1106	ENSG00000146701
1107	ENSG00000146733
1108	ENSG00000146872
1109	ENSG00000147100
1110	ENSG00000147119
1111	ENSG00000147123
1112	ENSG00000147133
1113	ENSG00000147155
1114	ENSG00000147162
1115	ENSG00000147224
1116	ENSG00000147383
1117	ENSG00000147408
1118	ENSG00000147416
1119	ENSG00000147454
1120	ENSG00000147471
1121	ENSG00000147535
1122	ENSG00000147614
1123	ENSG00000147669
1124	ENSG00000147684
1125	ENSG00000147813
1126	ENSG00000147853
1127	ENSG00000147872
1128	ENSG00000148090
1129	ENSG00000148154
1130	ENSG00000148218
1131	ENSG00000148229
1132	ENSG00000148288
1133	ENSG00000148334
1134	ENSG00000148344
1135	ENSG00000148377
1136	ENSG00000148384
1137	ENSG00000148459
1138	ENSG00000148606
1139	ENSG00000148660
1140	ENSG00000148672
1141	ENSG00000148834
1142	ENSG00000149016
1143	ENSG00000149084
1144	ENSG00000149089
1145	ENSG00000149091
1146	ENSG00000149150
1147	ENSG00000149269
1148	ENSG00000149313
1149	ENSG00000149380
1150	ENSG00000149435
1151	ENSG00000149452
1152	ENSG00000149485
1153	ENSG00000149541
1154	ENSG00000149554
1155	ENSG00000149742
1156	ENSG00000149782
1157	ENSG00000149809
1158	ENSG00000149923
1159	ENSG00000149925
1160	ENSG00000149930
1161	ENSG00000150457
1162	ENSG00000150540
1163	ENSG00000150712
1164	ENSG00000150768
1165	ENSG00000150787
1166	ENSG00000150867
1167	ENSG00000151005
1168	ENSG00000151012
1169	ENSG00000151093
1170	ENSG00000151116
1171	ENSG00000151151
1172	ENSG00000151292
1173	ENSG00000151348
1174	ENSG00000151366
1175	ENSG00000151376
1176	ENSG00000151414
1177	ENSG00000151418
1178	ENSG00000151498
1179	ENSG00000151552
1180	ENSG00000151611
1181	ENSG00000151665
1182	ENSG00000151689
1183	ENSG00000151726
1184	ENSG00000151729
1185	ENSG00000152127
1186	ENSG00000152234
1187	ENSG00000152254
1188	ENSG00000152332
1189	ENSG00000152455
1190	ENSG00000152463
1191	ENSG00000152556
1192	ENSG00000152620
1193	ENSG00000152642
1194	ENSG00000152894
1195	ENSG00000152904
1196	ENSG00000152953
1197	ENSG00000153201
1198	ENSG00000153207
1199	ENSG00000153208
1200	ENSG00000153395
1201	ENSG00000153574
1202	ENSG00000153707
1203	ENSG00000153786
1204	ENSG00000153936
1205	ENSG00000154229
1206	ENSG00000154269
1207	ENSG00000154305
1208	ENSG00000154330
1209	ENSG00000154415
1210	ENSG00000154518
1211	ENSG00000154723
1212	ENSG00000154822
1213	ENSG00000155016
1214	ENSG00000155097
1215	ENSG00000155099
1216	ENSG00000155111
1217	ENSG00000155189
1218	ENSG00000155252
1219	ENSG00000155287
1220	ENSG00000155368
1221	ENSG00000155380
1222	ENSG00000155561
1223	ENSG00000155850
1224	ENSG00000156096
1225	ENSG00000156110
1226	ENSG00000156136
1227	ENSG00000156194
1228	ENSG00000156345
1229	ENSG00000156411
1230	ENSG00000156467
1231	ENSG00000156471
1232	ENSG00000156508
1233	ENSG00000156515
1234	ENSG00000156599
1235	ENSG00000156795
1236	ENSG00000156873
1237	ENSG00000156885
1238	ENSG00000156970
1239	ENSG00000156973
1240	ENSG00000157020
1241	ENSG00000157045
1242	ENSG00000157064
1243	ENSG00000157184
1244	ENSG00000157326
1245	ENSG00000157349
